1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
165	-1.106162	21.115163	34.084823	0.001750	0.6
166	-1.128043	22.115163	33.294270	0.001081	0.6
167	-1.098087	23.115163	32.539558	0.000951	0.6
168	-1.109892	24.115160	31.818304	0.001067	0.5
169	-1.093287	25.114997	31.128439	0.001328	0.7
170	-1.107695	26.114995	30.467750	0.001748	0.6
171	-1.101838	27.114995	29.834523	0.001034	0.7
172	-1.105128	27.085172	29.853026	0.001203	0.6
173	-1.114202	28.085052	29.244909	0.000942	0.7
174	-1.107112	29.085052	28.661004	0.001101	0.6
175	-1.143993	29.363836	28.502354	0.002032	0.6
176	-1.114560	29.334013	28.519242	0.001661	0.6
177	-1.089494	29.304191	28.536149	0.001247	0.6
178	-1.150452	30.304191	27.979934	0.000847	0.6
179	-1.099118	30.274368	27.996208	0.000727	0.6
180	-1.104382	30.783387	27.721012	0.000585	0.7
181	-1.118143	30.753589	27.736973	0.001205	0.6
182	-1.121990	30.723767	27.752965	0.000536	0.6
183	-1.121601	31.723617	27.226658	0.001093	0.6
184	-1.124188	31.693794	27.242067	0.000862	0.6
185	-1.110090	31.663972	27.257494	0.000735	0.6
186	-1.125731	31.634149	27.272938	0.001102	0.6
187	-1.120002	31.604327	27.288400	0.001374	0.6
188	-1.125728	31.574504	27.303879	0.001121	0.6
189	-1.077691	32.574504	26.794236	0.000723	0.5
190	-1.116097	32.553600	26.804695	0.001751	0.6
191	-1.068697	32.523780	26.819628	0.001339	0.6
192	-1.116945	32.495103	26.834005	0.001119	0.5
193	-1.106941	33.495103	26.341594	0.001453	0.6
194	-1.133160	33.465281	26.356017	0.001362	0.6
195	-1.105935	33.435458	26.370457	0.000645	0.6
196	-1.122870	33.405640	26.384909	0.001218	0.6
197	-1.080850	33.375822	26.399378	0.001001	0.7
198	-1.119904	33.345999	26.413865	0.001373	0.6
199	-1.120222	33.316177	26.428368	0.001506	0.6
200	-1.094900	33.286354	26.442886	0.001579	0.6
201	-1.098863	33.256532	26.457421	0.000967	0.6
202	-1.115568	33.226709	26.471971	0.000910	0.6
203	-1.068655	33.280217	26.445876	0.000747	0.6
204	-1.136167	33.884241	26.154828	0.001403	0.5
205	-1.108492	33.854418	26.169048	0.001045	0.5
206	-1.107836	33.824596	26.183283	0.001117	0.6
207	-1.105003	33.794773	26.197533	0.001430	0.6
208	-1.077183	33.764951	26.211799	0.002096	0.5
209	-1.101239	33.735128	26.226081	0.000849	0.7
210	-1.104405	33.705306	26.240378	0.001557	0.6
211	-1.101418	33.675483	26.254690	0.001076	0.7
212	-1.094825	33.645661	26.269019	0.000852	0.6
213	-1.129523	33.618110	26.282269	0.001599	0.6
214	-1.151616	34.484127	25.872046	0.001585	0.6
215	-1.111616	34.454304	25.885960	0.001785	0.7
216	-1.099058	34.424482	25.899888	0.001051	0.6
217	-1.099524	34.394659	25.913832	0.001162	0.6
218	-1.097547	34.365708	25.927382	0.001741	0.8
219	-1.092966	34.335886	25.941356	0.000848	0.6
220	-1.107630	34.306063	25.955344	0.000821	0.6
